sensor_id,property_key,property_ts,property_value
1,vbam,2025-06-18 16:39:59.000000,57.05553
5,brtm,2025-06-18 16:39:59.000000,3984.0857
3,inpr,2025-06-18 16:39:59.000000,9.697517
9,dspr,2025-06-18 16:39:59.000000,120.94493
3,dspr,2025-06-18 16:39:59.000000,53.275837
0,intm,2025-06-18 16:39:59.000000,1225.1118
4,brtm,2025-06-18 16:39:59.000000,2469.227
8,vbam,2025-06-18 16:39:59.000000,222.9221
1,intm,2025-06-18 16:39:59.000000,833.18317
3,brtm,2025-06-18 16:39:59.000000,2140.5671
1,dstm,2025-06-18 16:39:59.000000,11832.399
4,dspr,2025-06-18 16:39:59.000000,110.55819
0,brtm,2025-06-18 16:39:59.000000,3987.8916
8,inpr,2025-06-18 16:39:59.000000,38.37201
7,dspr,2025-06-18 16:39:59.000000,118.84721
1,brtm,2025-06-18 16:39:59.000000,2616.141
7,intm,2025-06-18 16:39:59.000000,985.4815
6,intm,2025-06-18 16:39:59.000000,1393.193
7,brtm,2025-06-18 16:39:59.000000,3149.1853
2,dstm,2025-06-18 16:39:59.000000,13021.014
8,dstm,2025-06-18 16:39:59.000000,20375.56
6,brtm,2025-06-18 16:39:59.000000,4576.1753
3,dstm,2025-06-18 16:39:59.000000,10484.939
9,inpr,2025-06-18 16:39:59.000000,19.3961
5,dspr,2025-06-18 16:39:59.000000,51.61002
9,vbam,2025-06-18 16:39:59.000000,95.84402
0,dstm,2025-06-18 16:39:59.000000,15719.025
2,intm,2025-06-18 16:39:59.000000,953.04346
9,dstm,2025-06-18 16:39:59.000000,13830.248
8,intm,2025-06-18 16:39:59.000000,1694.6785
7,inpr,2025-06-18 16:39:59.000000,17.982594
4,inpr,2025-06-18 16:39:59.000000,12.39722
6,vbam,2025-06-18 16:39:59.000000,164.87608
6,inpr,2025-06-18 16:39:59.000000,29.7043
5,vbam,2025-06-18 16:39:59.000000,132.30551
2,vbam,2025-06-18 16:39:59.000000,80.13264
0,inpr,2025-06-18 16:39:59.000000,24.871965
7,dstm,2025-06-18 16:39:59.000000,13342.691
3,vbam,2025-06-18 16:39:59.000000,30.894444
7,vbam,2025-06-18 16:39:59.000000,86.378044
9,intm,2025-06-18 16:39:59.000000,1034.6469
5,dstm,2025-06-18 16:39:59.000000,15708.243
4,dstm,2025-06-18 16:39:59.000000,11416.143
0,vbam,2025-06-18 16:39:59.000000,132.51486
5,intm,2025-06-18 16:39:59.000000,1224.0245
6,dstm,2025-06-18 16:39:59.000000,17385.83
4,intm,2025-06-18 16:39:59.000000,791.20764
8,dspr,2025-06-18 16:39:59.000000,149.10628
9,brtm,2025-06-18 16:39:59.000000,3321.2642
2,dspr,2025-06-18 16:39:59.000000,117.46318
5,inpr,2025-06-18 16:39:59.000000,24.840704
1,dspr,2025-06-18 16:39:59.000000,112.349144
8,brtm,2025-06-18 16:39:59.000000,5631.375
1,inpr,2025-06-18 16:39:59.000000,13.604016
3,intm,2025-06-18 16:39:59.000000,697.30493
2,inpr,2025-06-18 16:39:59.000000,17.05
0,dspr,2025-06-18 16:39:59.000000,129.07144
4,vbam,2025-06-18 16:39:59.000000,48.97385
6,dspr,2025-06-18 16:39:59.000000,136.2429
2,brtm,2025-06-18 16:39:59.000000,3035.6523
4,brtm,2025-06-18 16:39:58.000000,3391.4583
0,dspr,2025-06-18 16:39:58.000000,122.55072
5,inpr,2025-06-18 16:39:58.000000,31.83808
4,dstm,2025-06-18 16:39:58.000000,14029.131
8,dspr,2025-06-18 16:39:58.000000,131.18997
6,brtm,2025-06-18 16:39:58.000000,3837.541
6,dspr,2025-06-18 16:39:58.000000,127.238594
2,vbam,2025-06-18 16:39:58.000000,136.51595
1,inpr,2025-06-18 16:39:58.000000,22.10196
6,dstm,2025-06-18 16:39:58.000000,15293.032
7,inpr,2025-06-18 16:39:58.000000,24.033081
9,dspr,2025-06-18 16:39:58.000000,104.08014
1,vbam,2025-06-18 16:39:58.000000,113.96465
1,brtm,2025-06-18 16:39:58.000000,3650.6733
7,dspr,2025-06-18 16:39:58.000000,127.826485
5,brtm,2025-06-18 16:39:58.000000,4835.94
1,dspr,2025-06-18 16:39:58.000000,124.96058
5,dstm,2025-06-18 16:39:58.000000,18121.83
8,brtm,2025-06-18 16:39:58.000000,4161.6777
9,intm,2025-06-18 16:39:58.000000,639.37823
0,vbam,2025-06-18 16:39:58.000000,103.09016
6,inpr,2025-06-18 16:39:58.000000,23.636944
2,inpr,2025-06-18 16:39:58.000000,25.469425
3,brtm,2025-06-18 16:39:58.000000,2154.9697
2,brtm,2025-06-18 16:39:58.000000,4060.6255
3,dspr,2025-06-18 16:39:58.000000,53.363625
3,dstm,2025-06-18 16:39:58.000000,10525.748
0,inpr,2025-06-18 16:39:58.000000,20.478125
8,vbam,2025-06-18 16:39:58.000000,142.07477
7,intm,2025-06-18 16:39:58.000000,1195.9332
7,dstm,2025-06-18 16:39:58.000000,15429.671
3,vbam,2025-06-18 16:39:58.000000,31.68671
3,inpr,2025-06-18 16:39:58.000000,9.815822
9,dstm,2025-06-18 16:39:58.000000,9910.5
8,inpr,2025-06-18 16:39:58.000000,26.299496
6,vbam,2025-06-18 16:39:58.000000,124.244156
9,brtm,2025-06-18 16:39:58.000000,1937.8237
4,intm,2025-06-18 16:39:58.000000,1054.7024
1,intm,2025-06-18 16:39:58.000000,1128.7638
4,vbam,2025-06-18 16:39:58.000000,99.70536
1,dstm,2025-06-18 16:39:58.000000,14763.573
0,intm,2025-06-18 16:39:58.000000,1072.2826
2,dstm,2025-06-18 16:39:58.000000,15925.105
8,dstm,2025-06-18 16:39:58.000000,16211.42
5,vbam,2025-06-18 16:39:58.000000,179.16562
0,brtm,2025-06-18 16:39:58.000000,3452.9893
3,intm,2025-06-18 16:39:58.000000,701.41986
5,intm,2025-06-18 16:39:58.000000,1467.4115
2,dspr,2025-06-18 16:39:58.000000,129.9581
4,inpr,2025-06-18 16:39:58.000000,19.97269
4,dspr,2025-06-18 16:39:58.000000,121.80063
8,intm,2025-06-18 16:39:58.000000,1274.765
5,dspr,2025-06-18 16:39:58.000000,55.763824
6,intm,2025-06-18 16:39:58.000000,1182.1545
9,inpr,2025-06-18 16:39:58.000000,8.032123
0,dstm,2025-06-18 16:39:58.000000,14203.469
2,intm,2025-06-18 16:39:58.000000,1245.8931
7,vbam,2025-06-18 16:39:58.000000,126.89701
7,brtm,2025-06-18 16:39:58.000000,3885.766
9,vbam,2025-06-18 16:39:58.000000,19.741613
9,dstm,2025-06-18 16:39:57.000000,11792.154
4,dspr,2025-06-18 16:39:57.000000,107.262215
1,inpr,2025-06-18 16:39:57.000000,9.038734
5,intm,2025-06-18 16:39:57.000000,903.62823
9,vbam,2025-06-18 16:39:57.000000,56.274155
4,inpr,2025-06-18 16:39:57.000000,10.176297
8,inpr,2025-06-18 16:39:57.000000,14.292484
7,dspr,2025-06-18 16:39:57.000000,125.89003
4,brtm,2025-06-18 16:39:57.000000,2198.8533
8,intm,2025-06-18 16:39:57.000000,857.1299
3,vbam,2025-06-18 16:39:57.000000,195.76665
2,inpr,2025-06-18 16:39:57.000000,25.523514
2,intm,2025-06-18 16:39:57.000000,1247.7744
0,dstm,2025-06-18 16:39:57.000000,11094.43
1,vbam,2025-06-18 16:39:57.000000,26.482702
9,dspr,2025-06-18 16:39:57.000000,112.17599
8,vbam,2025-06-18 16:39:57.000000,61.66607
8,brtm,2025-06-18 16:39:57.000000,2699.9546
7,vbam,2025-06-18 16:39:57.000000,118.15872
7,brtm,2025-06-18 16:39:57.000000,3726.9158
8,dstm,2025-06-18 16:39:57.000000,12069.871
1,intm,2025-06-18 16:39:57.000000,674.3908
1,brtm,2025-06-18 16:39:57.000000,2060.3677
6,dstm,2025-06-18 16:39:57.000000,12299.135
4,vbam,2025-06-18 16:39:57.000000,34.10074
0,brtm,2025-06-18 16:39:57.000000,2355.681
2,dstm,2025-06-18 16:39:57.000000,15943.763
0,vbam,2025-06-18 16:39:57.000000,42.72774
9,brtm,2025-06-18 16:39:57.000000,2601.9368
7,inpr,2025-06-18 16:39:57.000000,22.728237
3,intm,2025-06-18 16:39:57.000000,1553.6357
6,inpr,2025-06-18 16:39:57.000000,14.957155
5,dspr,2025-06-18 16:39:57.000000,46.141922
5,vbam,2025-06-18 16:39:57.000000,70.61856
9,inpr,2025-06-18 16:39:57.000000,13.487337
3,brtm,2025-06-18 16:39:57.000000,5137.725
7,dstm,2025-06-18 16:39:57.000000,14979.596
3,dspr,2025-06-18 16:39:57.000000,71.54423
0,intm,2025-06-18 16:39:57.000000,758.766
1,dstm,2025-06-18 16:39:57.000000,10257.708
9,intm,2025-06-18 16:39:57.000000,829.12476
6,dspr,2025-06-18 16:39:57.000000,114.35729
6,vbam,2025-06-18 16:39:57.000000,66.11725
1,dspr,2025-06-18 16:39:57.000000,105.57401
8,dspr,2025-06-18 16:39:57.000000,113.37087
3,inpr,2025-06-18 16:39:57.000000,34.317024
6,intm,2025-06-18 16:39:57.000000,880.2489
0,inpr,2025-06-18 16:39:57.000000,11.464521
5,dstm,2025-06-18 16:39:57.000000,12530.98
7,intm,2025-06-18 16:39:57.000000,1150.5474
4,dstm,2025-06-18 16:39:57.000000,10650.085
5,inpr,2025-06-18 16:39:57.000000,15.629312
2,vbam,2025-06-18 16:39:57.000000,136.87816
5,brtm,2025-06-18 16:39:57.000000,2862.6987
6,brtm,2025-06-18 16:39:57.000000,2780.871
2,dspr,2025-06-18 16:39:57.000000,130.03838
2,brtm,2025-06-18 16:39:57.000000,4067.2102
0,dspr,2025-06-18 16:39:57.000000,109.17401
3,dstm,2025-06-18 16:39:57.000000,18976.885
4,intm,2025-06-18 16:39:57.000000,713.9581
9,dstm,2025-06-18 16:39:56.000000,19977.709
2,brtm,2025-06-18 16:39:56.000000,5907.903
9,intm,2025-06-18 16:39:56.000000,1654.5587
0,brtm,2025-06-18 16:39:56.000000,4535.5176
6,brtm,2025-06-18 16:39:56.000000,3996.7144
6,vbam,2025-06-18 16:39:56.000000,133.00023
3,vbam,2025-06-18 16:39:56.000000,55.744194
1,brtm,2025-06-18 16:39:56.000000,5872.8545
3,intm,2025-06-18 16:39:56.000000,826.3722
0,inpr,2025-06-18 16:39:56.000000,29.370325
4,brtm,2025-06-18 16:39:56.000000,4614.863
